"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:29:03.206248","False",27.8,61.5,"6.1G",222,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:29:13.319816","False",30.6,60.9,"6.2G",221,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:29:23.435153","False",23.8,62.6,"6.0G",223,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:29:33.550689","False",75,62.7,"5.9G",222,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:29:43.683460","False",78.4,64,"5.7G",223,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:29:53.815671","False",86.1,65.2,"5.5G",225,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:30:03.937484","False",81.4,68.7,"5.0G",242,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:30:14.065106","False",100,66.5,"5.3G",233,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:30:24.229925","False",100,69.7,"4.8G",227,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:30:34.511595","False",100,75.1,"4.0G",229,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:30:44.674312","False",91.7,75.3,"3.9G",235,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:30:54.823815","False",41.9,75.6,"3.9G",234,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:31:04.941110","False",55.6,76.3,"3.8G",237,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:31:15.064142","False",86.1,76.2,"3.8G",239,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:31:25.183565","False",83.3,75.3,"3.9G",236,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:31:35.303148","False",61.1,74.9,"4.0G",234,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:31:45.472691","False",91.9,79.8,"3.2G",234,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:31:55.601521","False",100,81.6,"2.9G",234,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:32:05.741665","False",88.9,83.5,"2.6G",232,47.1,"492.9G"
